City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Half Moon Bay,US,37.4636,-122.4286,69.33,82,90,8.05,mist
303,Balsas,BR,-7.5325,-46.0356,93.83,32,5,9.84,clear sky
304,Verkh-Usugli,RU,52.7,115.1667,50.4,69,41,4.83,scattered clouds
305,Lagoa,PT,39.05,-27.9833,62.74,82,100,16.28,overcast clouds
306,Grindavik,IS,63.8424,-22.4338,54.55,100,75,14.63,light rain
307,Tuy Hoa,VN,13.0833,109.3,83.32,73,89,4.0,overcast clouds
308,Gambela,ET,8.25,34.5833,80.91,65,73,2.1,light rain
309,Marsh Harbour,BS,26.5412,-77.0636,79.75,76,60,13.02,broken clouds
310,Krasnyy Kut,RU,50.95,46.9667,56.93,83,83,11.59,broken clouds
311,Zhigansk,RU,66.7697,123.3711,55.92,73,100,6.29,overcast clouds
312,Paamiut,GL,61.994,-49.6678,37.56,81,72,22.1,broken clouds
313,North Platte,US,41.1239,-100.7654,81.32,49,1,5.01,clear sky
314,Menongue,AO,-14.6585,17.691,69.21,24,0,5.46,clear sky
315,Providencia,MX,28.7167,-111.5833,89.85,54,0,8.99,clear sky
316,Provideniya,RU,64.3833,-173.3,34.25,72,78,5.5,broken clouds
317,Slave Lake,CA,55.2834,-114.769,64.98,38,98,1.28,overcast clouds
318,Muros,ES,42.7762,-9.0603,75.69,51,4,16.33,clear sky
319,Red Bluff,US,40.1785,-122.2358,85.86,28,1,5.75,clear sky
320,Asyut,EG,27.181,31.1837,89.78,16,2,19.06,clear sky
321,Manokwari,ID,-0.8667,134.0833,79.25,75,99,2.3,overcast clouds
322,Liverpool,GB,53.4106,-2.9779,71.55,53,50,3.0,scattered clouds
323,Orsha,BY,54.5153,30.4053,73.62,74,100,4.7,overcast clouds
324,Klaksvik,FO,62.2266,-6.589,52.72,94,79,17.4,broken clouds
325,Luderitz,NA,-26.6481,15.1594,70.11,41,0,10.02,clear sky
326,Ust-Maya,RU,60.4167,134.5333,55.06,71,77,2.26,broken clouds
327,Bandarbeyla,SO,9.4942,50.8122,79.61,84,53,26.15,broken clouds
328,Itarema,BR,-2.9248,-39.9167,86.85,53,1,15.7,clear sky
329,Tiksi,RU,71.6872,128.8694,40.46,89,83,5.23,broken clouds
330,Hualmay,PE,-11.0964,-77.6139,69.03,70,7,9.89,clear sky
331,Vao,NC,-22.6667,167.4833,72.21,77,71,14.61,broken clouds
332,Vieux-Habitants,GP,16.0589,-61.7659,85.57,70,82,17.2,broken clouds
333,Phuthaditjhaba,ZA,-28.5242,28.8158,42.39,39,0,3.06,clear sky
334,Manzhouli,CN,49.6,117.4333,54.05,71,51,7.58,broken clouds
335,Dalbandin,PK,28.8947,64.4101,98.94,5,0,6.26,clear sky
336,Luzhou,CN,28.8724,105.4405,68.18,72,56,3.71,light rain
337,Rioja,AR,-29.4111,-66.8507,74.57,37,6,4.85,clear sky
338,La Ronge,CA,55.1001,-105.2842,66.45,59,20,6.91,few clouds
339,Ukiah,US,39.1502,-123.2078,82.04,53,1,3.44,clear sky
340,Egvekinot,RU,66.3167,-179.1667,27.16,76,59,1.32,broken clouds
341,Yulara,AU,-25.2406,130.9889,48.04,66,28,5.75,scattered clouds
342,Chokwe,MZ,-24.5333,32.9833,63.75,61,83,11.77,broken clouds
343,Dolores,AR,-36.3132,-57.6792,65.66,63,100,3.74,overcast clouds
344,Gat,IL,31.61,34.7642,76.82,47,0,10.27,clear sky
345,Valparaiso,CL,-33.0393,-71.6273,61.03,91,90,4.61,mist
346,Lethem,GY,3.3803,-59.7968,85.48,67,92,2.51,overcast clouds
347,Ejido,VE,8.5514,-71.2375,78.15,67,100,5.03,overcast clouds
