City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
627,Birao,CF,86.58,10.2849,22.7882,
630,Natal,BR,80.82,-5.795,-35.2094,Villa Park Hotel | Natal
638,Merauke,ID,76.32,-8.4667,140.3333,
640,Mongoumba,CF,75.9,3.6415,18.5936,
644,Phan Thiet,VN,78.98,10.9333,108.1,Hotel Saigon-PT
646,Alofi,NU,82.29,-19.0595,-169.9187,Taloa Heights
650,Avera,US,78.75,33.194,-82.5271,
651,Pedasi,PA,80.44,7.5333,-80.0333,Selina Pedasi
653,Shache,CN,76.5,38.4167,77.2406,Delong Hotel
657,Odienne,CI,76.48,9.51,-7.5692,Oustaz Vame DIAKITE
665,Banda Aceh,ID,79.95,5.5577,95.3222,Sulthan Hotel International
668,Lasem,ID,76.66,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
671,Houma,US,82.99,29.5958,-90.7195,Courtyard by Marriott Houma
672,Buala,SB,81.7,-8.145,159.5921,Maringe Lagoon Lodge
673,Palmira,CO,83.68,3.5394,-76.3036,Hotel Las Victorias
680,Edessa,TR,75.02,37.1671,38.7939,Dedeman Şanlıurfa
681,Gilbues,BR,76.95,-9.8317,-45.3439,Hotel Camapuã
683,Makakilo City,US,83.28,21.3469,-158.0858,Marriott's Ko Olina Beach Club
685,Gorontalo,ID,75.25,0.5412,123.0595,Maqna Hotel by Prasanthi
689,Sao Jose Da Coroa Grande,BR,75.7,-8.8978,-35.1478,Crôa Mares Hotel
