City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Bershet,RU,2021-05-30 20:03:44,57.7309,56.3783,45.66,78,46,11.07
107,Butaritari,KI,2021-05-30 20:03:44,3.0707,172.7902,82.89,77,96,14.76
108,West Bay,KY,2021-05-30 20:03:45,19.3667,-81.4167,84.06,79,1,1.99
109,Vaini,TO,2021-05-30 20:03:45,-21.2,-175.2,77.41,84,97,11.77
110,Nikolskoye,RU,2021-05-30 20:02:36,59.7035,30.7861,48.09,64,0,1.74
111,Thinadhoo,MV,2021-05-30 20:03:37,0.5333,72.9333,83.1,72,24,18.23
112,Si Sa Ket,TH,2021-05-30 20:03:46,14.8333,104.3333,80.01,77,62,7.78
113,Yerbogachen,RU,2021-05-30 20:03:46,61.2767,108.0108,45.57,75,99,8.7
114,Iqaluit,CA,2021-05-30 20:00:13,63.7506,-68.5145,41.7,70,100,8.99
115,Kapaa,US,2021-05-30 20:03:47,22.0752,-159.319,83.48,64,69,1.01
116,Tamandare,BR,2021-05-30 20:03:47,-8.7597,-35.1047,76.33,87,98,7.56
117,Tasiilaq,GL,2021-05-30 20:03:47,65.6145,-37.6368,39.36,86,100,12.37
118,Madimba,TZ,2021-05-30 20:03:48,-10.4,40.3333,74.23,88,75,7.67
119,Hilo,US,2021-05-30 20:00:07,19.7297,-155.09,85.28,83,10,4.0
120,Lae,PG,2021-05-30 20:03:48,-6.7221,146.9847,74.39,82,76,4.88
121,Lakatoro,VU,2021-05-30 20:03:49,-16.0999,167.4164,71.67,85,100,5.39
122,Kargasok,RU,2021-05-30 20:02:50,59.0556,80.8572,57.18,87,15,6.46
123,Fairbanks,US,2021-05-30 20:03:49,64.8378,-147.7164,66.02,49,100,1.01
124,Boende,CD,2021-05-30 20:03:50,-0.2167,20.8667,77.83,72,94,2.04
125,Northam,GB,2021-05-30 20:03:50,51.0333,-4.2167,61.09,86,9,4.94
126,Ponta Do Sol,PT,2021-05-30 20:03:29,32.6667,-17.1,66.83,58,30,6.17
127,Montepuez,MZ,2021-05-30 20:03:50,-13.1256,38.9997,68.47,76,77,4.09
128,Ucluelet,CA,2021-05-30 20:00:21,48.9329,-125.5528,62.1,82,100,1.01
129,Puerto Ayora,EC,2021-05-30 20:02:43,-0.7393,-90.3518,78.55,81,18,5.01
130,Evensk,RU,2021-05-30 20:03:51,61.95,159.2333,41.07,70,100,3.71
131,Margate,GB,2021-05-30 20:03:51,51.3813,1.3862,53.22,80,6,4.0
132,Saskylakh,RU,2021-05-30 20:03:52,71.9167,114.0833,36.63,87,90,4.09
133,Huainan,CN,2021-05-30 20:03:38,32.6264,116.9969,75.18,78,98,4.36
134,Kaeo,NZ,2021-05-30 20:03:52,-35.1,173.7833,52.32,98,65,18.21
135,Cabo San Lucas,MX,2021-05-30 20:00:02,22.8909,-109.9124,97.52,54,0,11.97
